observation_date,M2SL
2020-01-01,15416.8
2020-02-01,15467.0
2020-03-01,15993.8
2020-04-01,17005.8
2020-05-01,17853.4
2020-06-01,18141.1
2020-07-01,18298.0
2020-08-01,18364.3
2020-09-01,18596.6
2020-10-01,18751.3
2020-11-01,18979.1
2020-12-01,19133.2
2021-01-01,19359.7
2021-02-01,19596.7
2021-03-01,19823.4
2021-04-01,20160.7
2021-05-01,20426.9
2021-06-01,20474.7
2021-07-01,20628.7
2021-08-01,20811.0
2021-09-01,20978.6
2021-10-01,21142.9
2021-11-01,21316.7
2021-12-01,21470.9
2022-01-01,21585.9
2022-02-01,21684.2
2022-03-01,21720.8
2022-04-01,21749.6
2022-05-01,21689.9
2022-06-01,21642.5
2022-07-01,21641.8
2022-08-01,21606.6
2022-09-01,21520.5
2022-10-01,21424.6
2022-11-01,21358.0
2022-12-01,21219.3
2023-01-01,21205.1
2023-02-01,21184.6
2023-03-01,20876.3
2023-04-01,20729.9
2023-05-01,20801.4
2023-06-01,20782.6
2023-07-01,20772.3
2023-08-01,20746.9
2023-09-01,20720.0
2023-10-01,20687.3
2023-11-01,20696.8
2023-12-01,20701.4
2024-01-01,20773.3
2024-02-01,20861.6
2024-03-01,20901.5
2024-04-01,20932.9
2024-05-01,20997.1
2024-06-01,21065.5
2024-07-01,21098.2
2024-08-01,21185.7
2024-09-01,21272.2
2024-10-01,21335.5
2024-11-01,21454.5
2024-12-01,21490.1
